"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLUG_00001",14352.1442160477,-0.221495903276862,0.279253028860821,-0.793172787347832,0.427677159885447,0.999888861045291
"CLUG_00002",7044.33757155928,-0.0813755571334542,0.108439910874524,-0.750420730496673,0.453001349333401,0.999888861045291
"CLUG_00003",7114.96121221087,0.0581251923997787,0.0881333892627697,0.659513867400225,0.509565844092488,0.999888861045291
"CLUG_00004",15555.4166647842,0.0457670127100324,0.242724310445457,0.188555537045462,0.850441183896012,0.999888861045291
"CLUG_00005",2469.55393121967,-0.0250209539115788,0.138119494960819,-0.181154397637181,0.856246387717805,0.999888861045291
"CLUG_00006",1039.01905611686,0.0384113985820259,0.160777105078488,0.238910873306708,0.811174694001176,0.999888861045291
"CLUG_00007",1780.19861949504,-0.0176077950134745,0.112046756703823,-0.157146851291892,0.875129114261781,0.999888861045291
"CLUG_00008",975.190372546219,0.266635398449322,0.12718786267175,2.09639027536348,0.0360475843524836,0.751034381984913
"CLUG_00009",1276.61967365871,0.208996837307664,0.231139608414649,0.90420174517531,0.365888434980789,0.999888861045291
"CLUG_00010",846.836831686572,0.387624607213441,0.188439074012258,2.05702882613522,0.0396834531257484,0.763236144070559
"CLUG_00011",2843.39362547534,0.114449900867295,0.124660671301013,0.918091485252298,0.358570972233134,0.999888861045291
"CLUG_00012",702.223871342096,0.284746721590897,0.309028537000385,0.921425329695498,0.356828409373341,0.999888861045291
"CLUG_00013",2432.2631363292,-0.0145821457802218,0.129732104296903,-0.112401982988338,0.910504683095738,0.999888861045291
"CLUG_00014",866.714669531335,-0.00209822281035794,0.130540702082094,-0.0160733225491495,0.987175896287768,0.999888861045291
"CLUG_00015",399.246633066996,0.360821353663742,0.477571926306682,0.755533007256447,0.44992923525923,0.999888861045291
"CLUG_00016",843.516309281756,0.431357856117247,0.311322744783105,1.3855648626565,0.165879813714339,0.999888861045291
"CLUG_00017",2238.86009393839,0.0318230945295304,0.131802883191944,0.241444600898347,0.809210548488021,0.999888861045291
"CLUG_00018",1101.7313813922,-0.850953351639271,0.329049304855032,-2.58609679182934,0.00970696674742156,0.380399850932477
"CLUG_00019",12493.0479982711,-0.301466448620961,0.272015075508664,-1.1082711061408,0.267744750019546,0.999888861045291
"CLUG_00020",1119.96427092936,-0.00249166814613055,0.356340580638994,-0.0069923783074677,0.994420934768418,0.999888861045291
"CLUG_00021",4961.43248615379,0.0740704845716828,0.269367753782945,0.274979033427172,0.783332346506735,0.999888861045291
"CLUG_00022",8684.91673804956,0.0890688177647902,0.132649462686958,0.67146007198676,0.501927487294954,0.999888861045291
"CLUG_00023",36640.0493475245,-0.0415423008917163,0.196808153336093,-0.211080182337638,0.832824704044375,0.999888861045291
"CLUG_00024",7632.94564994495,-0.336280155654611,0.186821136055417,-1.80001129826584,0.0718588542442381,0.946509427531368
"CLUG_00025",2574.07201942308,-0.0356881595444905,0.295172070527641,-0.120906288595311,0.903765261137021,0.999888861045291
"CLUG_00026",1556.78959778929,0.19384201175222,0.270965221646541,0.715375982845045,0.474376748949922,0.999888861045291
"CLUG_00027",159.168703126128,-0.43535090237652,0.289794558872184,-1.50227424583404,0.133026297033065,0.999888861045291
"CLUG_00028",161.088005203716,-0.2682883750345,0.398254176811477,-0.673661170819309,0.500526753347994,0.999888861045291
"CLUG_00029",2424.74571282354,-0.061140534433596,0.14211110103521,-0.430230530818614,0.667027955115681,0.999888861045291
"CLUG_00030",67889.4193591154,0.207626240938323,0.188747106020983,1.10002344044015,0.271321908922601,0.999888861045291
"CLUG_00031",2062.86564802071,-0.368855675743145,0.171834105733383,-2.14658012254831,0.0318267237886882,0.710547209917655
"CLUG_00032",8877.59134931593,-0.119941365387849,0.122860199173465,-0.976242641593844,0.328944236607475,0.999888861045291
"CLUG_00033",536.39056916839,0.0143558419046172,0.200567553268808,0.071576093294497,0.942939266053087,0.999888861045291
"CLUG_00034",8799.14094409454,-0.076675642020726,0.211995785879992,-0.36168474624364,0.717587627173581,0.999888861045291
"CLUG_00035",5862.20788065408,-0.0229638466268322,0.13643351468621,-0.168315290269021,0.866335245570818,0.999888861045291
"CLUG_00036",2805.4954822676,0.0368584343416423,0.229056233273363,0.160914347603255,0.872160861815938,0.999888861045291
"CLUG_00037",1885.94313644358,-0.0270140186850921,0.157764400503574,-0.171230129223482,0.864042817638998,0.999888861045291
"CLUG_00038",476.106887255623,-0.171685218984385,0.130888516796718,-1.31169046136437,0.189624596473484,0.999888861045291
"CLUG_00039",2047.28798389336,-0.01108793841097,0.106430395253689,-0.104180186351283,0.917026357402371,0.999888861045291
"CLUG_00040",182.061874444763,0.39046976517363,0.222688288047344,1.75343646761798,0.0795271159282148,0.964803883661751
"CLUG_00041",2864.27620661434,0.0848403724195197,0.09529823280032,0.890261759599333,0.373325349372477,0.999888861045291
"CLUG_00042",5007.38327957485,0.198195204826913,0.202393587166811,0.979256347008476,0.327453333646743,0.999888861045291
"CLUG_00043",2756.19347616193,0.0479489299486636,0.11936846557604,0.40168841676296,0.687913350257631,0.999888861045291
"CLUG_00044",3701.24462014557,0.0945771311252879,0.142393030665119,0.664197753805204,0.506563750917446,0.999888861045291
"CLUG_00045",1539.35867856901,-0.35771526210811,0.123691225825613,-2.89200191622676,0.00382795612182852,0.196329317131259
"CLUG_00046",801.766353819073,0.285240511166006,0.113768146461661,2.50720891600472,0.0121688763972538,0.438464641326366
"CLUG_00047",1990.27357402558,-0.112216320838439,0.306589352927989,-0.366015061406246,0.71435383686824,0.999888861045291
"CLUG_00048",15673.7060648601,-0.0588789802551987,0.126991850868322,-0.463643768104856,0.642902990966923,0.999888861045291
"CLUG_00049",8060.3692006636,-0.0750635133863985,0.0726149584891293,-1.03371970387666,0.301267218901283,0.999888861045291
"CLUG_00050",3781.74015404981,-0.114872122496271,0.128083738003306,-0.896851733772058,0.369798038168162,0.999888861045291
"CLUG_00051",3263.85915735866,-0.102753050207412,0.126111422822122,-0.814779882012298,0.415198318605965,0.999888861045291
"CLUG_00052",7502.68731694725,0.108137706560053,0.203022169940801,0.532639891454144,0.594282882452963,0.999888861045291
"CLUG_00053",4891.33626537759,0.064869758961091,0.0882720324757664,0.734884619076829,0.462409766413059,0.999888861045291
"CLUG_00054",1977.14397602099,0.0720700140225248,0.140347447472502,0.513511398464482,0.607593639526049,0.999888861045291
"CLUG_00055",3930.51087210573,-0.520834188708267,0.395960068372794,-1.31537048886936,0.188385418632236,0.999888861045291
