"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLUG_00074",169.912825806372,-1.03618787228121,0.250600143110573,-4.13482554087772,3.55224383291418e-05,0.00302099781491717
"CLUG_00179",7463.32353498071,-1.74329744382871,0.32985637678295,-5.28501968290223,1.25691242303252e-07,1.79047174660982e-05
"CLUG_00357",1468.54395097636,-0.567417157753543,0.141389532939086,-4.01314825757292,5.99142557977633e-05,0.00480832999345993
"CLUG_00372",3888.15141474816,-0.35819226680648,0.0783340480136868,-4.57262551711735,4.81650517440182e-06,0.000527777816995031
"CLUG_00394",797.360107542433,-0.669735006470445,0.118810302824756,-5.63701118966338,1.73026873868417e-08,2.66461385757362e-06
"CLUG_00421",56242.1488069017,-0.439404050046184,0.0836256624279104,-5.25441637517637,1.48494596472794e-07,2.06371270902922e-05
"CLUG_00549",3782.02863636274,-1.7418224295751,0.219345736312856,-7.94099059710335,2.00572882300042e-15,6.01507517550338e-13
"CLUG_00811",6253.43035224712,-1.02628402846835,0.263934694676783,-3.88840137036604,0.000100906659687384,0.00787624858765365
"CLUG_00820",417.472297214118,-3.32190560339038,0.226342626168444,-14.6764472058313,9.12477330325441e-49,7.42756546884909e-46
"CLUG_00824",9783.13811202463,-0.420212752531241,0.124249526640933,-3.38200686869099,0.000719583453528072,0.0419958473683195
"CLUG_00848",888.13109708031,0.486559733032306,0.126406652102718,3.8491624051314,0.000118522409552838,0.00890119508007425
"CLUG_00915",2003.17102858575,0.367511372219226,0.101069880649331,3.63621060852277,0.000276678149564373,0.01876800114545
"CLUG_00970",2959.77259794512,0.455450761151486,0.0948975357713337,4.799395025904,1.59145623616196e-06,0.000197132992035888
"CLUG_01074",4680.31613175484,-0.30742550161053,0.0924210248193851,-3.3263589341421,0.000879885443222115,0.0486756044221322
"CLUG_01147",14069.0929217844,-1.14732164588726,0.202044589861991,-5.67855663282522,1.35836061033846e-08,2.14998298825237e-06
"CLUG_01165",3487.30777263027,0.440931311723035,0.127926079657583,3.4467663896468,0.000567338930771728,0.0359478285724601
"CLUG_01195",166.38557454495,1.38146316932082,0.21358672158413,6.46792627872546,9.93569462009474e-11,2.02191385518928e-08
"CLUG_01196",367.178588479969,1.44206077288687,0.121389337975105,11.8796328980936,1.51029164784011e-32,6.61972446876382e-30
"CLUG_01278",907.717428121942,0.587793202247333,0.157681118387518,3.72773359460052,0.000193209453173577,0.0135914501750993
"CLUG_01477",2600.10952403133,0.362700214451534,0.0942385541879429,3.84874553283351,0.000118724258702289,0.00890119508007425
"CLUG_01520",286.690222605012,0.918980830335075,0.196955112588578,4.66594046865259,3.07208642521699e-06,0.000350094969017728
"CLUG_01565",10050.7399048017,-5.04155908973021,0.143284695912208,-35.1856076298562,3.31956407169596e-271,1.89148760805236e-267
"CLUG_01567",1406.791108803,-0.997918115689489,0.171667600418125,-5.81308361775252,6.13324052899512e-09,9.98491558120405e-07
"CLUG_01568",1280.33571229293,-0.457367081392495,0.121761433343937,-3.756255727547,0.00017247445583072,0.0124399930294107
"CLUG_01584",3086.35445348475,0.420148770874713,0.125845526705566,3.33860711519538,0.000841995604168955,0.0479769095255471
"CLUG_01649",4928.48896772298,-1.02631943803191,0.307964450300316,-3.33259061892073,0.000860414450065914,0.0485410053116394
"CLUG_01670",2543.62143988223,-3.69324094277563,0.238966820256093,-15.4550365561951,6.9771994138175e-54,6.62601370998869e-51
