"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLUG_00074",190.133036785152,-1.17275672393194,0.260901466813952,-4.49501774847526,6.95641446227777e-06,0.00107034777118236
"CLUG_00419",168589.224592084,0.604013545641215,0.172289897358989,3.50579781461399,0.000455240890209032,0.0439268879315258
"CLUG_00448",213.576822678241,-0.880058473323398,0.233225700295144,-3.77341979125669,0.000161025004227359,0.0163699169476134
"CLUG_00517",3308.56038294904,-0.681488392685337,0.169865773741133,-4.01192292994757,6.0226163544924e-05,0.00779244429684664
"CLUG_00549",5641.11716199327,-1.19931931628496,0.273199270950032,-4.38990672308314,1.1339929257814e-05,0.00169890045433514
"CLUG_00820",622.583183848906,-2.23360423570339,0.178684273069968,-12.5002844253046,7.43846737334786e-36,4.70524386182993e-33
"CLUG_00824",12335.6615693612,-0.539783089336206,0.134259014191924,-4.02046069371985,5.8084440505293e-05,0.0076901097627124
"CLUG_01196",217.015378069733,1.06864769111433,0.237117586890026,4.50682593868484,6.58045709853913e-06,0.00104062617394398
"CLUG_01565",17765.0258282558,-2.65943647107139,0.110165565865604,-24.140360467224,9.4271146171386e-129,2.6834281757685e-125
"CLUG_01567",1709.68665504375,-0.781692076361848,0.156452013884222,-4.99636953820433,5.84196648748235e-07,9.78185741565795e-05
"CLUG_01568",1415.72842970594,-0.368438204674618,0.0942480296489166,-3.90924039523254,9.25867936927372e-05,0.0105419323298551
"CLUG_01670",4562.7509243442,-3.92125752392166,0.166763504956208,-23.5138828783395,2.9413081940308e-122,5.58162251620579e-119
"CLUG_01845",4704.49150171427,-1.77266420799809,0.312758297258201,-5.66784070490911,1.44608309536496e-08,2.74418368730424e-06
"CLUG_01915",64.1212218155872,-0.971358493357283,0.278601493276828,-3.48655164023872,0.000489290908880857,0.0455039861014664
"CLUG_01929",1467.26995161231,0.426487234724393,0.105040302039172,4.06022475606881,4.90255003787688e-05,0.00664528984896025
"CLUG_01970",433.850001173781,-1.06232378667417,0.136036482837621,-7.80910947206868,5.75934606172269e-15,1.72568195417828e-12
"CLUG_01971",901.665330996621,-0.99799642975747,0.137098327169468,-7.27942091170695,3.35256142664673e-13,8.2983183486521e-11
"CLUG_02049",2730.25745663142,-0.647797748949253,0.163635166673743,-3.95879297902289,7.5329495152958e-05,0.0087520574674651
"CLUG_02348",1550.6346217422,-7.17259934579686,0.532956898959921,-13.4581227108503,2.75835423129299e-41,2.24333009125014e-38
"CLUG_02444",1211.40397228572,0.536388488795427,0.140994084379665,3.80433328926804,0.000142186632450023,0.014990157380333
"CLUG_02526",5462.69739099209,-1.73274273926978,0.0983290347773169,-17.6218829280067,1.67341232816871e-69,1.90534727685289e-66
"CLUG_02527",9723.30508856315,-1.51916258011671,0.151558220822177,-10.0236237392833,1.20019979442422e-23,4.88052673546935e-21
"CLUG_02613",1331.42977334187,0.42366526259523,0.110134338271129,3.84680445032729,0.000119668404867402,0.0131013890175023
"CLUG_02695",4848.44998599956,1.88839360126754,0.254719933839765,7.41360745820332,1.22909365075964e-13,3.3320143589403e-11
"CLUG_02699",3682.25939485642,-0.672537970553759,0.11201761562946,-6.00385900712641,1.92682037809002e-09,4.06273644906166e-07
"CLUG_02715",3427.01352235691,-2.49189648553636,0.0901937447738984,-27.6282628222517,5.09319796302238e-168,2.89955760034864e-164
"CLUG_02778",943.600440555183,-3.31000915067603,0.320599908176544,-10.3244232648168,5.4646215827703e-25,2.59250755589261e-22
"CLUG_02779",471.030950025578,-1.81165818536047,0.233748373220784,-7.75046328835536,9.15578871486168e-15,2.60619525768538e-12
"CLUG_02780",397.376936185286,-3.45647996505652,0.274467350289847,-12.5934103324361,2.29537776397163e-36,1.63344820128631e-33
"CLUG_02886",88.819226210866,-0.999375510532506,0.288552216711554,-3.46341304156923,0.000533368962451803,0.0481979286228272
"CLUG_02904",603.175991111654,-1.12278796104319,0.19686390532505,-5.70337136809976,1.17460685918348e-08,2.30587477563156e-06
"CLUG_02911",1621.75229662972,-0.674078560903171,0.192075529255183,-3.50944528705487,0.00044904243459796,0.0439268879315258
"CLUG_03219",413.259181515759,-1.86633740358289,0.216651286094017,-8.61447645767948,7.02619191932067e-18,2.6666740397795e-15
"CLUG_03228",661.750743725866,1.33431031545223,0.383076563042379,3.48314265131541,0.000495564225942546,0.0455039861014664
"CLUG_03270",1817.55968646982,-0.493935016655101,0.120576981421573,-4.09642877796183,4.1957249194026e-05,0.00582591755272171
"CLUG_03427",239.604072430177,-1.91187545600474,0.238151047766488,-8.02799514818585,9.90783979277132e-16,3.31796070236748e-13
"CLUG_03633",2448.05117667632,-0.502024654214985,0.117632796636081,-4.2677269313599,1.97474845629266e-05,0.00288262640042925
"CLUG_03762",2133.39213027096,-1.62117349083487,0.205523986115452,-7.88800140302933,3.07064313001053e-15,9.7117618550833e-13
"CLUG_03835",1168.14095103888,1.2910136587082,0.214536446954092,6.01768919471506,1.76924475306001e-09,3.87396553045024e-07
"CLUG_03968",698.962963518788,-1.35011539096236,0.286502849067769,-4.71239778367091,2.44818890908019e-06,0.000398215413125529
"CLUG_03999",1460.86827560034,-0.561542747273443,0.160007583560449,-3.50947583094584,0.000448990862957559,0.0439268879315258
"CLUG_04002",187.939287035719,-0.771099645673903,0.220310576666933,-3.50005731608454,0.000465158130594258,0.0441357539578852
"CLUG_04062",3474.34786632298,-0.552136891161715,0.0896295808175683,-6.16020833886897,7.26493021393252e-10,1.65436990831671e-07
"CLUG_04092",1135.15729741248,-1.38899622330111,0.134043266514807,-10.3622976328145,3.68013847493908e-25,1.90463893980256e-22
"CLUG_04093",205.469667153911,-2.97250035820451,0.262030275297555,-11.3441103507181,7.93289236067534e-30,4.51619562093247e-27
"CLUG_04094",19.9083775990045,-2.59566176471142,0.648132601365755,-4.00483135587039,6.20617410852465e-05,0.00785149982218462
"CLUG_04095",44.279023461014,-2.36726747043455,0.40402368321803,-5.8592294678851,4.65019765010457e-09,9.45484829358762e-07
"CLUG_04096",85.1584023150972,-5.64922465221274,0.558788341744618,-10.1097754376461,4.99987471431361e-24,2.18956051912211e-21
"CLUG_04097",1128.63286547983,-6.83644063264419,0.329403889345699,-20.7539766644029,1.12859397022747e-95,1.60627136812625e-92
"CLUG_04190",67.0205777089172,-1.14682670415201,0.28709075946172,-3.9946486132199,6.4790271459338e-05,0.00801850033517416
"CLUG_04217",9242.45765870261,1.25560873510048,0.170167153174009,7.37867862087652,1.59868206528485e-13,4.13695318075757e-11
"CLUG_04344",16269.9704675498,-3.10527139941702,0.734660129196642,-4.22681356454265,2.37023892906767e-05,0.00337344255579556
"CLUG_04424",835.370157385444,-0.525718823525273,0.132289499953202,-3.97400265108907,7.06747756293568e-05,0.00838232286787351
"CLUG_04604",1378.4647190392,-0.673007518242017,0.169312459675949,-3.97494383774295,7.03958661830227e-05,0.00838232286787351
"CLUG_04748",34441.3339461439,-2.75377187214382,0.171855262133325,-16.0237855853809,8.71774087716396e-58,8.27168313561574e-55
"CLUG_05236",141.05780287455,-1.50167316173207,0.281734796207738,-5.33009476268174,9.81615332273215e-08,1.80268906020368e-05
"CLUG_05286",5063.64709277316,0.787516348705658,0.208327199726056,3.7801897675446,0.000156708872056817,0.0162207928839902
"CLUG_05333",664.73384920655,-1.06993077973549,0.213468037666522,-5.01213573437595,5.38292103154966e-07,9.28635437351885e-05
"CLUG_05334",3332.82287254264,-1.14250177143799,0.140339626478087,-8.14097771320765,3.92098570823412e-16,1.39513572731105e-13
"CLUG_05437",1370.98199221312,0.548265104008207,0.106807418678535,5.13321181984893,2.84839026944205e-07,5.06746431372925e-05
"CLUG_05568",3039.59668399514,1.19954097520028,0.180733964528358,6.63705340792249,3.2001572174874e-11,7.59103959964825e-09
"CLUG_05888",2523.57737381758,-0.496973225620263,0.130574215209591,-3.80605944919943,0.000141198456841767,0.014990157380333
"CLUG_05914",136.124163624709,-1.16096298503523,0.298265747175747,-3.89237784099679,9.92664858298946e-05,0.0110808647809724
