"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLUG_00001",15097.8313859854,-0.265444534890884,0.185167290990259,-1.4335390093537,0.15170385915156,0.882983836235175
"CLUG_00002",6979.8342341263,-0.0463776142351546,0.0750791678535683,-0.617716146316484,0.536762466686875,0.998826684666613
"CLUG_00003",7209.28800473353,-0.0101914233309733,0.0784638908566812,-0.129886795310578,0.896655991599142,0.998826684666613
"CLUG_00004",13530.1360892188,-0.00924916349182319,0.264288377187276,-0.0349964822148391,0.972082545942494,0.998826684666613
"CLUG_00005",2450.41853955441,-0.0337733338697134,0.0931489535004969,-0.36257341172956,0.716923574969335,0.998826684666613
"CLUG_00006",1006.24191979561,0.0789858934657585,0.113502608767541,0.695894960683465,0.486494613437281,0.998826684666613
"CLUG_00007",1870.67070226387,-0.0296198703702416,0.143351934047794,-0.206623444371293,0.836303949393703,0.998826684666613
"CLUG_00008",1009.69721140917,0.141867044863988,0.162819296975052,0.871315915863005,0.383581682544353,0.998826684666613
"CLUG_00009",1266.84845056792,0.145986833065298,0.254439491602461,0.573758547251736,0.566131203324107,0.998826684666613
"CLUG_00010",859.894624754177,0.0910539550692409,0.256664070625977,0.354759257293667,0.722769953535999,0.998826684666613
"CLUG_00011",2891.12171337449,0.148863645761667,0.120095026735581,1.23954879571681,0.215142329825436,0.957264295078144
"CLUG_00012",829.734893782495,0.298149868150597,0.158858583944085,1.87682566939876,0.0605419910620328,0.695500534418272
"CLUG_00013",2373.95567147746,0.0188547609171825,0.097622072400242,0.193140346784276,0.846849055325605,0.998826684666613
"CLUG_00014",733.592843782721,-0.327484153870865,0.114883534985631,-2.85057518391844,0.00436402317719388,0.14627178860971
"CLUG_00015",354.631490650508,0.189910764443406,0.469203411768138,0.404751456788751,0.685660214183339,0.998826684666613
"CLUG_00016",877.101040710487,0.435805526870192,0.237209001738656,1.83722170607311,0.0661771725564287,0.715517133257174
"CLUG_00017",2165.3241720166,0.11195935493508,0.137672340651728,0.813230561818554,0.416085880174538,0.998826684666613
"CLUG_00018",792.457232609533,-0.593414187113619,0.186231477556238,-3.18643332964172,0.00144038681284022,0.0713719464605512
"CLUG_00019",11060.5436067633,-0.316004202993506,0.292943950033459,-1.07871899370993,0.280713015867054,0.998826684666613
"CLUG_00020",1089.4265443378,-0.138918215851147,0.384603068544293,-0.36119892744732,0.717950743864572,0.998826684666613
"CLUG_00021",4993.05559091955,0.198985046522143,0.218106418125961,0.912330082864527,0.361594982786869,0.998826684666613
"CLUG_00022",8929.00023761924,0.021594454200781,0.0739036611584669,0.292197353450155,0.770135735023942,0.998826684666613
"CLUG_00023",35506.3988063486,-0.0364167074752475,0.186690357748657,-0.19506474739459,0.8453422599204,0.998826684666613
"CLUG_00024",6428.08515142001,-0.266226168545844,0.156532529948247,-1.70077215664925,0.0889857795755435,0.800728597669916
"CLUG_00025",2327.26793544968,-0.125740384894479,0.249225692761457,-0.504524166434277,0.613893084368393,0.998826684666613
"CLUG_00026",1440.33703319666,-0.0366991639975791,0.237103738984814,-0.15478104290852,0.876993936656991,0.998826684666613
"CLUG_00027",144.014284280756,-0.47124871949175,0.323562302429582,-1.45643888658602,0.145271332304566,0.882983836235175
